"Province/State","Country/Region","Lat","Long","9/7/20","9/8/20","9/9/20","9/10/20","9/11/20","9/12/20","9/13/20","9/14/20","Recent Data","Location"
"-","Lesotho","-29.61","28.2336","31","31","31","31","33","33","33","33","33","-29.61,28.2336"
"-","Liberia","6.4280550000000005","-9.429499","82","82","82","82","82","82","82","82","82","6.4280550000000005,-9.429499"
"-","Libya","26.3351","17.228331","296","314","324","339","352","354","362","368","368","26.3351,17.228331"
"-","Liechtenstein","47.14","9.55","1","1","1","1","1","1","1","1","1","47.14,9.55"
"-","Lithuania","55.1694","23.8813","86","86","86","86","86","86","87","87","87","55.1694,23.8813"
"-","Luxembourg","49.8153","6.1296","124","124","124","124","124","124","124","124","124","49.8153,6.1296"
"-","MS Zaandam","0.0","0.0","2","2","2","2","2","2","2","2","2","0.0,0.0"
"-","Madagascar","-18.766947000000002","46.869107","202","206","206","208","209","210","211","213","213","-18.766947000000002,46.869107"
"-","Malawi","-13.2543","34.3015","176","176","176","176","177","177","177","178","178","-13.2543,34.3015"
"-","Malaysia","4.210483999999999","101.97576600000001","128","128","128","128","128","128","128","128","128","4.210483999999999,101.97576600000001"
"-","Maldives","3.2028","73.2207","29","29","31","31","31","31","32","33","33","3.2028,73.2207"
"-","Mali","17.570692","-3.996166000000001","127","127","128","128","128","128","128","128","128","17.570692,-3.996166000000001"
"-","Malta","35.9375","14.3754","14","14","14","14","15","15","15","16","16","35.9375,14.3754"
"-","Mauritania","21.0079","-10.9408","160","160","161","161","161","161","161","161","161","21.0079,-10.9408"
"-","Mauritius","-20.348404000000002","57.552152","10","10","10","10","10","10","10","10","10","-20.348404000000002,57.552152"
"-","Mexico","23.6345","-102.5528","67781","68484","69049","69649","70183","70604","70821","71049","71049","23.6345,-102.5528"
"-","Moldova","47.4116","28.3699","1074","1087","1096","1106","1114","1117","1123","1129","1129","47.4116,28.3699"
"-","Monaco","43.7333","7.4167","1","1","1","1","1","1","1","1","1","43.7333,7.4167"
"-","Mongolia","46.8625","103.8467","0","0","0","0","0","0","0","0","0","46.8625,103.8467"
"-","Montenegro","42.708678000000006","19.37439","109","112","114","114","115","118","120","121","121","42.708678000000006,19.37439"
