"Province/State","Country/Region","Lat","Long","9/7/20","9/8/20","9/9/20","9/10/20","9/11/20","9/12/20","9/13/20","9/14/20","Recent Data","Location"
"-","Sao Tome and Principe","0.1864","6.6131","898","898","898","901","906","906","906","906","906","0.1864,6.6131"
"-","Saudi Arabia","23.885942","45.079162","321456","322237","323012","323720","324407","325050","325651","326258","326258","23.885942,45.079162"
"-","Senegal","14.4974","-14.4524","14014","14044","14102","14150","14193","14237","14280","14306","14306","14.4974,-14.4524"
"-","Serbia","44.0165","21.0059","31941","31994","32078","32136","32228","32300","32408","32437","32437","44.0165,21.0059"
"-","Seychelles","-4.6796","55.492","137","137","137","137","138","139","139","140","140","-4.6796,55.492"
"-","Sierra Leone","8.460555","-11.779889","2055","2064","2067","2069","2087","2096","2109","2111","2111","8.460555,-11.779889"
"-","Singapore","1.2833","103.8333","57044","57091","57166","57229","57315","57357","57406","57454","57454","1.2833,103.8333"
"-","Slovakia","48.669","19.699","4636","4727","4888","5066","5252","5453","5532","5580","5580","48.669,19.699"
"-","Slovenia","46.1512","14.9955","3190","3232","3312","3389","3497","3603","3702","3749","3749","46.1512,14.9955"
"-","Somalia","5.152149","46.199616","3362","3371","3371","3371","3376","3376","3389","3389","3389","5.152149,46.199616"
"-","South Africa","-30.5595","22.9375","639362","640441","642431","644438","646398","648214","649793","650749","650749","-30.5595,22.9375"
"-","South Sudan","6.877","31.307","2545","2552","2555","2555","2568","2578","2578","2587","2587","6.877,31.307"
"-","Spain","40.463667","-3.74922","525549","534513","543379","554143","566326","566326","566326","593730","593730","40.463667,-3.74922"
"-","Sri Lanka","7.873054","80.771797","3123","3140","3147","3155","3169","3195","3234","3262","3262","7.873054,80.771797"
"-","Sudan","12.8628","30.2176","13437","13437","13437","13437","13470","13470","13516","13535","13535","12.8628,30.2176"
"-","Suriname","3.9193","-56.0278","4360","4419","4447","4477","4529","4579","4582","4611","4611","3.9193,-56.0278"
"-","Sweden","60.128161","18.643501","85558","85707","85880","86194","86505","86505","86505","86505","86505","60.128161,18.643501"
"-","Switzerland","46.8182","8.2275","44592","44837","45306","45711","46239","46704","47179","47436","47436","46.8182,8.2275"
"-","Syria","34.802075","38.996815","3229","3289","3351","3416","3476","3506","3540","3576","3576","34.802075,38.996815"
"-","Taiwan*","23.7","121","494","495","495","496","498","498","498","499","499","23.7,121"
"-","Tajikistan","38.861","71.2761","8824","8860","8899","8939","8977","9014","9049","9088","9088","38.861,71.2761"
"-","Tanzania","-6.369028","34.888822","509","509","509","509","509","509","509","509","509","-6.369028,34.888822"
"-","Thailand","15.870032","100.992541","3446","3447","3454","3461","3461","3473","3475","3475","3475","15.870032,100.992541"
"-","Timor-Leste","-8.874217","125.727539","27","27","27","27","27","27","27","27","27","-8.874217,125.727539"
